"","GDP","Exprop","Mort","Latitude","Neo","Africa","Asia","Namer","Samer","logMort","Latitude2"
"1",8.39,6.5,78.2,0.3111,0,1,0,0,0,4.35926964755127,0.09678321
"2",7.77,5.36,280,0.1367,0,1,0,0,0,5.63478960316925,0.01868689
"3",9.13,6.39,68.9,0.3778,0,0,0,0,1,4.23265617801961,0.14273284
"4",9.9,9.32,8.55,0.3,1,0,0,0,0,2.14593128294867,0.09
"5",9.29,7.5,85,0.2683,0,0,0,1,0,4.44265125649032,0.07198489
"6",6.88,5.14,71.41,0.2667,0,0,1,0,0,4.26843791556102,0.07112889
"7",7.93,5.64,71,0.1889,0,0,0,0,1,4.26267987704132,0.03568321
"8",8.73,7.91,71,0.1111,0,0,0,0,1,4.26267987704132,0.01234321
"9",6.85,4.45,280,0.1444,0,1,0,0,0,5.63478960316925,0.02085136
"10",7.5,6.45,280,0.6667,0,1,0,0,0,5.63478960316925,0.44448889
"11",9.99,9.73,16.1,0.6667,1,0,0,1,0,2.77881927199042,0.44448889
"12",9.34,7.82,68.9,0.3333,0,0,0,0,1,4.23265617801961,0.11108889
"13",8.81,7.32,71,0.0444,0,0,0,0,1,4.26267987704132,0.00197136
"14",7.42,4.68,240,0.0111,0,1,0,0,0,5.48063892334199,0.00012321
"15",8.79,7.05,78.1,0.1111,0,0,0,1,0,4.35799005684564,0.01234321
"16",7.44,7,668,0.0889,0,1,0,0,0,6.50428817353665,0.00790321
"17",8.36,6.18,130,0.2111,0,0,0,1,0,4.86753445045558,0.04456321
"18",8.47,6.55,71,0.0222,0,0,0,0,1,4.26267987704132,0.00049284
"19",7.95,6.77,67.8,0.3,0,1,0,0,0,4.21656219494635,0.09
"20",7.95,5,78.1,0.15,0,0,0,1,0,4.35799005684564,0.0225
"21",6.11,5.73,26,0.0889,0,1,0,0,0,3.25809653802148,0.00790321
"22",8.9,7.82,280,0.0111,0,1,0,0,0,5.63478960316925,0.00012321
"23",7.27,8.27,1470,0.1476,0,1,0,0,0,7.29301767977278,0.02178576
"24",7.37,6.27,668,0.0889,0,1,0,0,0,6.50428817353665,0.00790321
"25",8.29,5.14,71,0.17,0,0,0,1,0,4.26267987704132,0.0289
"26",7.49,6.55,483,0.1222,0,1,0,0,0,6.18001665365257,0.01493284
"27",7.9,5.89,32.18,0.0556,0,0,0,0,1,3.47134514156424,0.00309136
"28",7.15,3.73,130,0.2111,0,0,0,1,0,4.86753445045558,0.04456321
"29",7.69,5.32,78.1,0.1667,0,0,0,1,0,4.35799005684564,0.02778889
"30",10.05,8.14,14.9,0.2461,0,0,1,0,0,2.70136121295141,0.06056521
"31",7.33,8.27,48.63,0.2222,0,0,1,0,0,3.88424062441569,0.04937284
"32",8.07,7.59,170,0.0556,0,0,1,0,0,5.13579843705026,0.00309136
"33",8.19,7.09,130,0.2017,0,0,0,1,0,4.86753445045558,0.04068289
"34",7.06,6.05,145,0.0111,0,1,0,0,0,4.97673374242057,0.00012321
"35",6.84,4.45,536.04,0.2222,0,1,0,0,0,6.28420878515203,0.04937284
"36",8.89,7.95,17.7,0.0256,0,0,1,0,0,2.87356463957978,0.00065536
"37",6.57,4,2940,0.1889,0,1,0,0,0,7.98616486033273,0.03568321
"38",9.43,7.23,16.3,0.3944,0,0,0,0,0,2.79116510781272,0.15555136
"39",8.94,7.5,71,0.2556,0,0,0,1,0,4.26267987704132,0.06533136
"40",8.04,7.09,78.2,0.3556,0,1,0,0,0,4.35926964755127,0.12645136
"41",9.76,9.73,8.55,0.4556,1,0,0,0,0,2.14593128294867,0.20757136
"42",7.54,5.23,163.3,0.1444,0,0,0,1,0,5.09558899997642,0.02085136
"43",6.73,5,400,0.1778,0,1,0,0,0,5.99146454710798,0.03161284
"44",6.81,5.55,2004,0.1111,0,1,0,0,0,7.60290046220476,0.01234321
"45",7.35,6.05,36.99,0.3333,0,0,1,0,0,3.61064760584436,0.11108889
"46",8.84,5.91,163.3,0.1,0,0,0,1,0,5.09558899997642,0.01
"47",8.21,6.95,78.1,0.2556,0,0,0,0,1,4.35799005684564,0.06533136
"48",8.4,5.77,71,0.1111,0,0,0,0,1,4.26267987704132,0.01234321
"49",7.4,6,164.66,0.1556,0,1,0,0,0,5.10388274187028,0.02421136
"50",6.25,5.82,483,0.0922,0,1,0,0,0,6.18001665365257,0.00850084
"51",10.15,9.32,17.7,0.0136,0,0,1,0,0,2.87356463957978,0.00018496
"52",8.89,6.86,15.5,0.3222,0,1,0,0,0,2.7408400239252,0.10381284
"53",7.73,6.05,69.8,0.0778,0,0,1,0,0,4.24563400976833,0.00605284
"54",7.31,4,88.2,0.1667,0,1,0,0,0,4.47960696301275,0.02778889
"55",6.25,6.64,145,0.0667,0,1,0,0,0,4.97673374242057,0.00444889
"56",7.22,6.91,668,0.0889,0,1,0,0,0,6.50428817353665,0.00790321
"57",8.77,7.45,85,0.1222,0,0,0,1,0,4.44265125649032,0.01493284
"58",8.48,6.45,63,0.3778,0,1,0,0,0,4.14313472639153,0.14273284
"59",6.97,4.45,280,0.0111,0,1,0,0,0,5.63478960316925,0.00012321
"60",9.03,7,71,0.3667,0,0,0,0,1,4.26267987704132,0.13446889
"61",10.22,10,15,0.4222,1,0,0,1,0,2.70805020110221,0.17825284
"62",9.07,7.14,78.1,0.0889,0,0,0,0,1,4.35799005684564,0.00790321
"63",7.28,6.41,140,0.1778,0,0,1,0,0,4.9416424226093,0.03161284
"64",6.87,3.5,240,0,0,1,0,0,0,5.48063892334199,0
